LAND_USE;VARIABLE;SERVICE;VALUE;UNITS
PROTECTED;Total Runoff;Non-consumptive;0.023;km3
PROTECTED;Groundwater Recharge;Non-consumptive;0.053;km3
PROTECTED;Natural Feed Production;Incremental ET natural;3.755;t
PROTECTED;Natural Feed Production;Landscape ET;3.419;t
PROTECTED;Natural Fuel Wood Production;Incremental ET natural;2.293;t
PROTECTED;Natural Fuel Wood Production;Landscape ET;2.254;t
PROTECTED;Dry Season Baseflow;Non-consumptive;0.023;km3
PROTECTED;Root Zone Water Storage;Non-consumptive;0.203;km3
PROTECTED;Atmospheric Water Recycling;Incremental ET natural;0.000;km3
PROTECTED;Atmospheric Water Recycling;Landscape ET;0.000;km3
UTILIZED;Total Runoff;Non-consumptive;0.015;km3
UTILIZED;Groundwater Recharge;Non-consumptive;0.023;km3
UTILIZED;Natural Feed Production;Incremental ET natural;1.503;t
UTILIZED;Natural Feed Production;Landscape ET;2.334;t
UTILIZED;Natural Fuel Wood Production;Incremental ET natural;0.817;t
UTILIZED;Natural Fuel Wood Production;Landscape ET;1.046;t
UTILIZED;Dry Season Baseflow;Non-consumptive;0.014;km3
UTILIZED;Root Zone Water Storage;Non-consumptive;0.108;km3
UTILIZED;Atmospheric Water Recycling;Incremental ET natural;0.000;km3
UTILIZED;Atmospheric Water Recycling;Landscape ET;0.000;km3
MODIFIED;Total Runoff;Non-consumptive;0.209;km3
MODIFIED;Groundwater Recharge;Non-consumptive;0.140;km3
MODIFIED;Natural Feed Production;Incremental ET natural;66.564;t
MODIFIED;Natural Feed Production;Landscape ET;76.151;t
MODIFIED;Natural Fuel Wood Production;Incremental ET natural;0.000;t
MODIFIED;Natural Fuel Wood Production;Landscape ET;0.000;t
MODIFIED;Dry Season Baseflow;Non-consumptive;0.205;km3
MODIFIED;Root Zone Water Storage;Non-consumptive;0.566;km3
MODIFIED;Atmospheric Water Recycling;Incremental ET natural;0.003;km3
MODIFIED;Atmospheric Water Recycling;Landscape ET;0.003;km3
MANAGED;Total Runoff;Non-consumptive;0.273;km3
MANAGED;Groundwater Recharge;Non-consumptive;0.045;km3
MANAGED;Natural Feed Production;Incremental ET natural;33.865;t
MANAGED;Natural Feed Production;Landscape ET;45.769;t
MANAGED;Natural Fuel Wood Production;Incremental ET natural;0.000;t
MANAGED;Natural Fuel Wood Production;Landscape ET;0.000;t
MANAGED;Dry Season Baseflow;Non-consumptive;0.223;km3
MANAGED;Root Zone Water Storage;Non-consumptive;0.343;km3
MANAGED;Atmospheric Water Recycling;Incremental ET natural;0.003;km3
MANAGED;Atmospheric Water Recycling;Landscape ET;0.004;km3
