LAND_USE;VARIABLE;SERVICE;VALUE;UNITS
PROTECTED;Total Runoff;Non-consumptive;0.036;km3
PROTECTED;Groundwater Recharge;Non-consumptive;0.113;km3
PROTECTED;Natural Feed Production;Incremental ET natural;4.194;t
PROTECTED;Natural Feed Production;Landscape ET;4.115;t
PROTECTED;Natural Fuel Wood Production;Incremental ET natural;2.123;t
PROTECTED;Natural Fuel Wood Production;Landscape ET;2.356;t
PROTECTED;Dry Season Baseflow;Non-consumptive;0.036;km3
PROTECTED;Root Zone Water Storage;Non-consumptive;0.254;km3
PROTECTED;Atmospheric Water Recycling;Incremental ET natural;0.000;km3
PROTECTED;Atmospheric Water Recycling;Landscape ET;0.000;km3
UTILIZED;Total Runoff;Non-consumptive;0.023;km3
UTILIZED;Groundwater Recharge;Non-consumptive;0.048;km3
UTILIZED;Natural Feed Production;Incremental ET natural;2.052;t
UTILIZED;Natural Feed Production;Landscape ET;2.675;t
UTILIZED;Natural Fuel Wood Production;Incremental ET natural;0.960;t
UTILIZED;Natural Fuel Wood Production;Landscape ET;0.947;t
UTILIZED;Dry Season Baseflow;Non-consumptive;0.023;km3
UTILIZED;Root Zone Water Storage;Non-consumptive;0.133;km3
UTILIZED;Atmospheric Water Recycling;Incremental ET natural;0.000;km3
UTILIZED;Atmospheric Water Recycling;Landscape ET;0.000;km3
MODIFIED;Total Runoff;Non-consumptive;0.323;km3
MODIFIED;Groundwater Recharge;Non-consumptive;0.401;km3
MODIFIED;Natural Feed Production;Incremental ET natural;82.499;t
MODIFIED;Natural Feed Production;Landscape ET;99.048;t
MODIFIED;Natural Fuel Wood Production;Incremental ET natural;0.000;t
MODIFIED;Natural Fuel Wood Production;Landscape ET;0.000;t
MODIFIED;Dry Season Baseflow;Non-consumptive;0.319;km3
MODIFIED;Root Zone Water Storage;Non-consumptive;0.898;km3
MODIFIED;Atmospheric Water Recycling;Incremental ET natural;0.003;km3
MODIFIED;Atmospheric Water Recycling;Landscape ET;0.003;km3
MANAGED;Total Runoff;Non-consumptive;0.461;km3
MANAGED;Groundwater Recharge;Non-consumptive;0.080;km3
MANAGED;Natural Feed Production;Incremental ET natural;53.793;t
MANAGED;Natural Feed Production;Landscape ET;70.215;t
MANAGED;Natural Fuel Wood Production;Incremental ET natural;0.000;t
MANAGED;Natural Fuel Wood Production;Landscape ET;0.000;t
MANAGED;Dry Season Baseflow;Non-consumptive;0.345;km3
MANAGED;Root Zone Water Storage;Non-consumptive;0.643;km3
MANAGED;Atmospheric Water Recycling;Incremental ET natural;0.003;km3
MANAGED;Atmospheric Water Recycling;Landscape ET;0.005;km3
