TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;0.17925139466934276
Shrubland;VERTICAL_RECHARGE;0.029879413921471438
Rainfed Crops;VERTICAL_RECHARGE;0.425491454827714
Forest Plantations;VERTICAL_RECHARGE;0.19984944805446855
Natural Water Bodies;VERTICAL_RECHARGE;0.001940888139007071
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;7.41706038671586e-05
Irrigated crops;VERTICAL_RECHARGE;0.07291753214560293
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.00041690632407144447
Residential;VERTICAL_RECHARGE;0.015757934159032795
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.008642612688591213
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.02148985942098942
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.004779382847812003
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.11462553859866997
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.03970277228325006
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;7.595498176682041e-05
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;1.0146639498436523e-05
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.004316824054685394
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0020509706965738737
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.011515093739196148
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0052337190429971705
Forests;RETURN_FLOW_GROUNDWATER;7.525760277423335e-07
Shrubland;RETURN_FLOW_GROUNDWATER;1.5015658968490482e-06
Rainfed Crops;RETURN_FLOW_GROUNDWATER;0.00037458569272202187
Forest Plantations;RETURN_FLOW_GROUNDWATER;7.175892027024756e-06
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;2.176547394163126e-06
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;-1.4571385667513345e-13
Irrigated crops;RETURN_FLOW_GROUNDWATER;0.0013172093900663778
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;7.439422418166127e-06
Residential;RETURN_FLOW_GROUNDWATER;0.003504468087179131
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;0.0014347435124022249
Forests;RETURN_FLOW_SURFACEWATER;7.533293570994329e-10
Shrubland;RETURN_FLOW_SURFACEWATER;1.5030689658148632e-09
Rainfed Crops;RETURN_FLOW_SURFACEWATER;3.749606533753972e-07
Forest Plantations;RETURN_FLOW_SURFACEWATER;7.183075102126883e-09
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;4.135440048909934e-05
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;-1.4571385667513345e-13
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.1304079918980749
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;0.00014134902594515627
Residential;RETURN_FLOW_SURFACEWATER;0.03154021278461218
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.012912691611620028
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.0019856654326244213
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;0.895494203790062
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
