TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;0.11569810995867043
Shrubland;VERTICAL_RECHARGE;0.02769752906170224
Rainfed Crops;VERTICAL_RECHARGE;0.6426748841288946
Forest Plantations;VERTICAL_RECHARGE;0.2233634039123123
Natural Water Bodies;VERTICAL_RECHARGE;0.007450365881752952
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;0.00012708765060366088
Irrigated crops;VERTICAL_RECHARGE;0.6730901340853608
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.047493341583418974
Residential;VERTICAL_RECHARGE;0.16197356841644034
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.08292739444792582
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.02227538226721303
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.004091502328682292
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.07462045783769203
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.029632736626987646
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;2.1580677099719958e-05
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;7.962479829447267e-06
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.00048337898852310264
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;3.6840384966815313e-06
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0013997531475725834
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0006869937869642893
Forests;RETURN_FLOW_GROUNDWATER;0.0031169023961662426
Shrubland;RETURN_FLOW_GROUNDWATER;1.3284969517972057e-11
Rainfed Crops;RETURN_FLOW_GROUNDWATER;1.6184742441684723e-10
Forest Plantations;RETURN_FLOW_GROUNDWATER;1.0034357249345784e-10
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;1.384451474266283e-13
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;-1.0927718819748111e-13
Irrigated crops;RETURN_FLOW_GROUNDWATER;1.0592023945410082e-05
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;0.0
Residential;RETURN_FLOW_GROUNDWATER;2.715025624653271e-05
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;1.3154986288212027e-05
Forests;RETURN_FLOW_SURFACEWATER;3.120022418584828e-06
Shrubland;RETURN_FLOW_SURFACEWATER;1.3298267785757819e-14
Rainfed Crops;RETURN_FLOW_SURFACEWATER;1.6200943385069799e-13
Forest Plantations;RETURN_FLOW_SURFACEWATER;1.0044401650996784e-13
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;2.630457801105935e-12
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;-1.0927718819748111e-13
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.0010486558520982066
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;0.0
Residential;RETURN_FLOW_SURFACEWATER;0.00024435230621879444
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.00011839487659390829
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.001325364383920965
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;0.5068664033925476
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
