TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;0.12215971630237538
Shrubland;VERTICAL_RECHARGE;0.02525452352071084
Rainfed Crops;VERTICAL_RECHARGE;0.5266309409191055
Forest Plantations;VERTICAL_RECHARGE;0.18657027737424725
Natural Water Bodies;VERTICAL_RECHARGE;0.005855533254252184
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;9.131822796373641e-05
Irrigated crops;VERTICAL_RECHARGE;0.48769508838464715
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.04001831861079297
Residential;VERTICAL_RECHARGE;0.11607229238326548
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.05960395763345616
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.015642686066328834
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.002907986724909497
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.05053445523142132
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.020936138473220053
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;1.6082362182869382e-05
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;6.771178364161446e-06
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0007058166680094228
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;2.450528842602738e-06
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0021832908797553953
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0008712731803490372
Forests;RETURN_FLOW_GROUNDWATER;0.0004617935640155931
Shrubland;RETURN_FLOW_GROUNDWATER;6.719902746218256e-11
Rainfed Crops;RETURN_FLOW_GROUNDWATER;2.747442763360477e-10
Forest Plantations;RETURN_FLOW_GROUNDWATER;-1.4117589180129918e-10
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;-1.2012710489502735e-13
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;1.8767832783756525e-17
Irrigated crops;RETURN_FLOW_GROUNDWATER;0.00022679222654638811
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;0.0
Residential;RETURN_FLOW_GROUNDWATER;0.0006946709852705109
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;0.00025569121399978805
Forests;RETURN_FLOW_SURFACEWATER;4.6225581983542853e-07
Shrubland;RETURN_FLOW_SURFACEWATER;6.72662937559385e-14
Rainfed Crops;RETURN_FLOW_SURFACEWATER;2.7501929563167945e-13
Forest Plantations;RETURN_FLOW_SURFACEWATER;-1.4131720901030948e-13
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;-2.2824149930055173e-12
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;1.8767832783756525e-17
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.022453276667720977
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;0.0
Residential;RETURN_FLOW_SURFACEWATER;0.006252038867434599
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.002301220925998093
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.0009293567811303416
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;0.6859663398951292
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
