TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;0.13796448461869687
Shrubland;VERTICAL_RECHARGE;0.030875586797597387
Rainfed Crops;VERTICAL_RECHARGE;0.6289525819979428
Forest Plantations;VERTICAL_RECHARGE;0.2293496828819466
Natural Water Bodies;VERTICAL_RECHARGE;0.006227125121747367
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;0.00013255529230958408
Irrigated crops;VERTICAL_RECHARGE;0.5068219162394787
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.027917533375450724
Residential;VERTICAL_RECHARGE;0.12970977346425716
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.06703946559133916
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.019522009162904502
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.004077803061865507
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0713973104962734
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.028290141711410685
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;1.918970493483855e-05
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;9.040187263072812e-06
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0006759729212921217
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;1.708761811019508e-06
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0018458648598621355
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0009156432188325073
Forests;RETURN_FLOW_GROUNDWATER;0.0005290089097515891
Shrubland;RETURN_FLOW_GROUNDWATER;-3.615836259105234e-12
Rainfed Crops;RETURN_FLOW_GROUNDWATER;-2.881934670940146e-10
Forest Plantations;RETURN_FLOW_GROUNDWATER;-1.0221043510278314e-10
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;-1.8940760975490196e-13
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;-7.284042156865614e-14
Irrigated crops;RETURN_FLOW_GROUNDWATER;0.00011137803014428518
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;0.0
Residential;RETURN_FLOW_GROUNDWATER;0.0003120170783698751
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;0.00014507697133429748
Forests;RETURN_FLOW_SURFACEWATER;5.295384481997891e-07
Shrubland;RETURN_FLOW_SURFACEWATER;-3.619455714820047e-15
Rainfed Crops;RETURN_FLOW_SURFACEWATER;-2.884819490430576e-13
Forest Plantations;RETURN_FLOW_SURFACEWATER;-1.0231274785063374e-13
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;-3.598744585343134e-12
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;-7.284042156865614e-14
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.01102685871778377
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;0.0
Residential;RETURN_FLOW_SURFACEWATER;0.0028081537053288768
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.0013056927420086776
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.001258390408676173
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;0.9637372354688147
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
