TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;0.06791119743229163
Shrubland;VERTICAL_RECHARGE;0.0067319998682818
Rainfed Crops;VERTICAL_RECHARGE;0.0883281357587336
Forest Plantations;VERTICAL_RECHARGE;0.05203687882153274
Natural Water Bodies;VERTICAL_RECHARGE;0.0005934065094936497
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;2.122678341133748e-05
Irrigated crops;VERTICAL_RECHARGE;0.03655487304328961
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.00032500399271719613
Residential;VERTICAL_RECHARGE;0.008106670541043675
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.004303852498596899
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.026423781864400663
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.005045214642799383
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.10066543329849967
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.03788113091446105
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;6.65767427988572e-05
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;1.0914188877745288e-05
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.001438104460879484
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0015597488652879276
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.004728588658381788
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0021682042639116854
Forests;RETURN_FLOW_GROUNDWATER;7.421395947098948e-06
Shrubland;RETURN_FLOW_GROUNDWATER;2.4637716592553337e-06
Rainfed Crops;RETURN_FLOW_GROUNDWATER;0.0006625383477287819
Forest Plantations;RETURN_FLOW_GROUNDWATER;5.991296391835979e-05
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;3.8992618772344864e-06
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;1.4571089032511802e-13
Irrigated crops;RETURN_FLOW_GROUNDWATER;8.36376840975136e-05
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;4.3905673937493097e-07
Residential;RETURN_FLOW_GROUNDWATER;0.00037425446014278057
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;0.00012123357800324701
Forests;RETURN_FLOW_SURFACEWATER;7.42882477187082e-09
Shrubland;RETURN_FLOW_SURFACEWATER;2.466237897152486e-09
Rainfed Crops;RETURN_FLOW_SURFACEWATER;6.6320154927806e-07
Forest Plantations;RETURN_FLOW_SURFACEWATER;5.9972936855215e-08
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;7.408597566745517e-05
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;1.4571089032511802e-13
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.008280483218786265
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;8.342078048123681e-06
Residential;RETURN_FLOW_SURFACEWATER;0.0033682901412850257
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.0010911022020292233
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.0017781949363638654
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;0.46562935719856247
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
