TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;0.0649892371259738
Shrubland;VERTICAL_RECHARGE;0.00634234974540166
Rainfed Crops;VERTICAL_RECHARGE;0.06798058252836486
Forest Plantations;VERTICAL_RECHARGE;0.04226370054688765
Natural Water Bodies;VERTICAL_RECHARGE;0.0005373077287771271
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;1.7579021062154556e-05
Irrigated crops;VERTICAL_RECHARGE;0.03472876278664648
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.00032786881841743217
Residential;VERTICAL_RECHARGE;0.007305403593268714
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.003885238348703924
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.03079666759725096
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.005748231212139551
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.1100965166393964
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0412938311122384
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;7.978148793370138e-05
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;1.3104032818699319e-05
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.001732462545474971
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;0.002210750714687825
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0053910169423540336
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0025040676679388917
Forests;RETURN_FLOW_GROUNDWATER;3.16084814402578e-05
Shrubland;RETURN_FLOW_GROUNDWATER;1.0475928403687355e-06
Rainfed Crops;RETURN_FLOW_GROUNDWATER;0.0004564920966484936
Forest Plantations;RETURN_FLOW_GROUNDWATER;7.859275355921185e-05
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;1.563639003241323e-06
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;2.480922895219377e-17
Irrigated crops;RETURN_FLOW_GROUNDWATER;6.490975869049655e-05
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;2.0740979820940683e-07
Residential;RETURN_FLOW_GROUNDWATER;0.00023753102738645741
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;8.148382341889637e-05
Forests;RETURN_FLOW_SURFACEWATER;3.1640121561819616e-08
Shrubland;RETURN_FLOW_SURFACEWATER;1.048641481850586e-09
Rainfed Crops;RETURN_FLOW_SURFACEWATER;4.569490456941877e-07
Forest Plantations;RETURN_FLOW_SURFACEWATER;7.867142498419604e-08
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;2.9709141061585105e-05
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;2.480922895219377e-17
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.0064263474054233865
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;3.940786165978726e-06
Residential;RETURN_FLOW_SURFACEWATER;0.0021377792464781172
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.0007333544107700676
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.0019736236228429455
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;0.37441550224308295
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
